empid,fn,ln,sal,did,,dept_id,dname,
101,Naman,Singh,5000,20,,10,HR,
102,Raman,Tripathi,7000,20,,20,MKT,
103,Chaman,Nagor,8000,20,,30,SAL,
104,Nisha,Patil,9000,30,,40,ADM,
105,Madhu,Reddy,10000,30,,50,FIN,
106,Rahul,Barkade,122746,113,,60,ACC,
,,,,,,,,
,LEFT TABLE,,,,,RIGHT TABLE,,
,,,,,,,,
empid,fn,ln,sal,did,dept_id,dname,,
101,Naman,Singh,5000,20,20,MKT,,
102,Raman,Tripathi,7000,20,20,MKT,,
103,Chaman,Nagor,8000,20,20,MKT,,
104,Nisha,Patil,9000,30,30,SAL,,
105,Madhu,Reddy,10000,30,30,SAL,,
,,,,,,,,
,,Inner Join,,,,,,
,,,,,,,,
empid,fn,ln,sal,did,dept_id,dname,,
101,Naman,Singh,5000,20,20,MKT,,
102,Raman,Tripathi,7000,20,20,MKT,,
103,Chaman,Nagor,8000,20,20,MKT,,
104,Nisha,Patil,9000,30,30,SAL,,
105,Madhu,Reddy,10000,30,30,SAL,,
106,Rahul,Barkade,122746,113,NA,NA,,
,,,,,,,,
,,Left Join,,,,,,
,,,,,,,,
empid,fn,ln,sal,did,dept_id,dname,,
NA,NA,NA,NA,NA,10,HR,,
101,Naman,Singh,5000,20,20,MKT,,
102,Raman,Tripathi,7000,20,20,MKT,,
103,Chaman,Nagor,8000,20,20,MKT,,
104,Nisha,Patil,9000,30,30,SAL,,
105,Madhu,Reddy,10000,30,30,SAL,,
NA,NA,NA,NA,NA,40,ADM,,
NA,NA,NA,NA,NA,50,FIN,,
NA,NA,NA,NA,NA,60,ACC,,
,,,,,,,,
,,Right Join,,,,,,
,,,,,,,,
,,,,,,,,
empid,fn,ln,sal,did,dept_id,dname,,
NA,NA,NA,NA,NA,10,HR,,
101,Naman,Singh,5000,20,20,MKT,,
102,Raman,Tripathi,7000,20,20,MKT,,
103,Chaman,Nagor,8000,20,20,MKT,,
104,Nisha,Patil,9000,30,30,SAL,,
105,Madhu,Reddy,10000,30,30,SAL,,
106,Rahul,Barkade,122746,113,NA,NA,,
NA,NA,NA,NA,NA,40,ADM,,
NA,NA,NA,NA,NA,50,FIN,,
NA,NA,NA,NA,NA,60,ACC,,
,,,,,,,,
,,Full outer Join,,,,,,
